text_preprocessed,Polarity
investasi nilai bahkan lipat kali tingkat harga pokok jual berkat pembanguna najam utama inti deh serah dukung manfaat banyak kalimantan warga tanah banding sekarang besar iya rakyat lebih bangun,Positif
sebentar jangan ikn,Positif
bismillah lancar allah alhamdulillah,Positif
sosial menteri nama makanya ngabaiin bagai masalah riset komentar tu bro biasa soal sendiri miskin kaya kalau anggar perintah lebih,Netral
dilanjutin pertama periode harus buah pimpin ikut kalau jokowi perintah pindah jadi ibukota mulai ikn,Negatif
mantab alhamdulillah,Positif
orangquot nanti kumuh konstruksi huni kalau yakin kerja,Netral
kalteng kalsel guna tunggu padahal adabelum lewat pulau balikpapan hubung jembatan kaltim sayang masyarakat sangat jalan,Netral
super ungan belakang hebat nega menteri ter lah baru nya jokowi iya kok ibukota indonesia bangun,Positif
amp kadrun,Netral
buang duit,Negatif
istana,Negatif
bos jiwa mantap jalan lancar bapak kerja moga,Positif
coba fun tanya baswedan anies yohanes bapak,Netral
,Negatif
panjang keluarga umur mudah lihat aamiin an sehat nusantara ibukota indonesia maju depan,Positif
otak pake fokus jabodetabek mata oligarki mikir takut orang iya bangun,Netral
lumayan infrastruktur dua provinsi blok satu ekspor kaltim tahun besar jadi buat selalu lengkap indonesia maju ikn,Positif
umum kritik santai satu oligarki bro utama penting jangan rakyat bangun,Positif
bener mangkrak nya proyek moga,Positif
kiri kanan dubai macet ujung lawak doang lajur sampe sama jalan kalau jangan buat,Positif
militer pangkal china jadi bakal ikn,Negatif
betul rakyat,Negatif
asing untung usaha,Negatif
luar orang kalimantan jadi kerja,Negatif
alam usak,Negatif
kaya hambalang proyek bakal,Netral
barak mirip jauh asn pusat,Negatif
senang jabat apa kait suka pasti macet nikmat hidup orang banyak nya pindah jakarta ikn,Positif
nasib ntr kaya meikarta,Negatif
main paten pantau penting sampe terus lancar anggar jangan moga,Positif
rawat sedikit malah rantau meski makan kecil selatan hasil jauh sampe baik uang kurang ibu mau sekarang tetep bagi ibukota lebih,Netral
kenang karya jokowi selalu,Netral
ja trjdi tuh sndiri ngp raih cukup biar sama yakin kok bangsa beri swt allah maju,Netral
ridho dapat halang apa penting aamiin sukses swt allah moga,Positif
jin puja tv,Negatif
pura vihara mesjid lokasi yah gereja sayang kata kok,Negatif
up,Netral
bersih sungai,Netral
ngibuuuul,Negatif
jabat ujung mangkrak nya kalau,Negatif
mah sbodo cuan om mangkrak penting projek lancar jadi calon indonesia depan masa,Negatif
titis,Negatif
hutang,Negatif
derita rakyat ikn,Negatif
asli pohon tebang ganti kalimantan semua bakal,Netral
dpr gedung tuh jalan demo,Netral
bang dong mau nya,Netral
ide rakyat ikn,Negatif
utangquot mana malah hidup hutang ibu nya pindah susah rakyat kota,Negatif
rif kalimantan hutan,Negatif
,Netral
wna ribut habis sama pikir kerja,Netral
naturalisasi capres anti tahun ikn,Negatif
quot,Netral
pamrih gundul hutan,Negatif
hijau miris jadi,Negatif
berita baca pernah komentar investor asal bukan,Netral
moga indonesia depan masa,Positif
mantap,Positif
pajak lahan sewa gratis investor siapa lah mudah jalan tahun tetap iya ikn,Negatif
maksa,Negatif
sejarah urgent alias arti defisit dapat makan kecil apa panjang super tanya pasu biaya proyek besar lebih ikn bangun,Netral
singapore saham bursa saing dlu buka mudah lebih,Positif
besok negeri semua lancar cucu anak moga maju,Positif
jokowidodo tidur yaaa syukur sanjung rasa nagara serius nampak jabat panjang bangga salah pribadi sayang mudah mungkin perintah jadi iya kok bapak rakyat salam buat indonesia masa mulai bangun,Positif
cair luhut hihihi gelap mundur nyari pajak cuan dulu investor banyak nya tinggal,Negatif
sesuai fungsi sedikit nama masalah biasa tuju hidup akhir banyak semua kalau jadi harap wujud bangun,Netral
koar niah suara angan bilang citra vidioin lah iya kadrun,Netral
ngabisin pret duit negara,Negatif
bedeng mah asal jadi kok bangun,Negatif
awo,Netral
so bayar engkau tetangga malu tu bangga mati siapa emang sayang kaya punya sama hutang kalau iya anak,Netral
mangkrak proyek moga,Positif
perata saat padat terlalu terwujudjawa cita jawa akhir bukan,Positif
kagum wwooooowwterkagum,Positif
jelek tuntas oe ide hebat harus biar jokowi kadrun,Positif
ngabisin pret duit negara,Negatif
mubazir miskin orang duit mending buat bangun,Negatif
rata pulau bangga jawa kembang mudah datang banyak kalimantan moga maju masa bangun,Positif
wow optimis,Positif
sengsara merdeka uud pancasila bawa kuasa kecil untung biasa usaha tahun tetap bukan rakyat,Negatif
bodo ska iya ikn,Positif
mangkrak iya jangan,Positif
lama program pilpres menang anti baik mudah baru bukan an sukses lanjut indonesia lebih ikn,Positif
nama asn kok,Negatif
pariwisata sd bintang sgr bondong wisata tarik kab antar lomba ngadakan ada kaum hut upacara agustus tgl kmd lingkung unt bila usul sesuai tingkat tuju baik dayak budaya ri daya asn baru lihat pindah diri ikn,Positif
kendala ada apa jalan lancar moga bangun,Positif
singkir dominasi asli jawa lah orang suku kalimantan semua besar kota,Negatif
apa negeri makin iya buat maju bangun,Netral
bulan kantor ikut jokowi pindah bapak sukses mulai ikn,Positif
mantap,Positif
rendah iq gni contoh ganjar nih,Netral
pindah meikarta,Netral
adil sulit fisik perata yakin ekonomi rakyat lebih wujud ikn,Positif
ayo macet biar bikin banyak demo pindah jakarta,Positif
ngabisin pret duit negara,Negatif
mampu bandara tol pempus desa pulau makanya bahkan luar sendiri usaha jawa kembang tau perlu perhati waktu terus banding sekarang pusat bakal sana kok dana bangun,Positif
nasional korban tuju kalau ekonomi bukan,Negatif
manfaat nya cucu moga depan,Positif
,Netral
kuras tambang peras benar pajak apa lewat siapa sekarang iya rakyat buat ikn,Negatif
entah politik alat gebu esemka mobil nasional terlalu berita mirip mati hidup proyek jadi bakal kota,Negatif
basuki ucap murah baik ibu mahal biaya jakarta bapak kota negara lebih bangun,Positif
makan kecil padahal harga sini sangat kuli mahal iya,Negatif
hingga ingat sejarah jadi bakal,Positif
garong rocky bukti otak cepat nyata cebong selesai kata jadi moga ikn bangun,Negatif
minta si pahit sebentar jawa jokowi pusat bakal siap ikn,Negatif
sih sendiri tuju asal kalau kerja bangsa anak,Positif
jaya malaysia salam moga maju,Positif
tahap asli jembatan jalan,Netral
aamiin,Netral
persen njir padahal tahun pindah depan,Negatif
aamiin makin moga indonesia maju,Positif
waras,Negatif
proses lancar beri moga bangun,Positif
bau mangkrak,Negatif
mohon info jadi sana kerja buat,Netral
paru dunia,Negatif
mantap,Positif
asean dagang strategis pilih lain apartemen properti seharihari laku beli ibarat fasilitas mobil tetangga rasa lokasi infrastruktur fokus panjang hubung investasi nilai dampak era manfaat penting hidup orang datang hutang bagus sangat kalimantan butuh waktu tepat tanah mungkin jokowi jangka mahal perintah pindah ekonomi iya buat sedang negara ibukota bangun,Positif
munafik islam istilah rusak industri barang peduli sok alah lingkung tuh pakai semua,Netral
dahulu harga mati nkri hambat mimpi tempat semua lancar,Positif
ora,Netral
panas belum jujur ingat hijau senang suka jauh ikut baik bumi tetap makin milik hutan lebih,Positif
lho ripah paru jawa nya tanah pindah,Negatif
masuk listrik batu ingat rantau daerah jalan lalu tahun mulai ikn bangun,Netral
mangkrak siap,Negatif
roda ramai bawah huni masyarakat baru ekonomi subsidi kota moga bangun,Positif
ukur mesjid gereja kalau pikir sedang bangun,Positif
bunuh asing infrastruktur perang dunia mudah rakyat moga indonesia,Positif
kuat republik mampu satu kembang sama besar jadi negara indonesia maju bangun,Positif
tunggal pura vihara doang bro gereja masjid dong jangan negara bangun,Negatif
misal air ikat tanam waduk pohon harus,Netral
juang mantap selamat,Positif
sebernya asli tuju orang dayak suku kalimantan ibu pindah iya kota,Netral
nempati kasi turut si malah mati bikin jokowi bukan presiden bapak indonesia,Netral
mungkin,Negatif
job good,Positif
rmhnya coba miskin orang sangat semua buat,Netral
mangkrak bakal,Negatif
hayalan bangkrut tingkat mangkrak mimpi moga,Negatif
ibu hutan kok kota,Negatif
so kaya,Negatif
bersih korupsi terus aamiin buat sukses moga ikn,Positif
cina jajah bangga kok,Negatif
belaka omong proges bener jalan dar nya lihat,Positif
tut,Netral
sj mangkrak kaya hambalang calon moga,Negatif
lancar moga ikn bangun,Positif
rahayu adab dunia tanah jadi awal salam moga nusantara harap,Positif
dasar target undang lindung swasta tahap nasional panjang mangkrak tiap selesai tahun jangka proyek jadi milik meikarta negara ikn bangun,Positif
ingin apa lancar moga,Positif
lawan tahu jokowi diri,Netral
aziz panjang bro tahun jangka proyek,Netral
mangkrak mudah hambalang an,Positif
beres tadi gin takut mantap jadi hutan,Positif
kembali justru tanam industri asli dulu ganti kalimantan bakal,Positif
biasa luar keren,Positif
mangkrak aamiin moga,Positif
potong gaji berat gagal yudhoyono bambang susilo megawati bulan rasa jual tiap hambalang baru proyek tinggal jangan bapak ibukota ikn,Negatif
kesana dpr jabat pindah,Netral
hasil,Negatif
peras proyek rakyat,Negatif
akhir widodo joko jadi presiden bapak moga lanjut,Netral
kuasa lewat hasil china akhir kalimantan ibu kota buat negara indonesia,Negatif
banjir cerdas solusi macet masalah jokowi jakarta presiden bapak nusantara ikn,Positif
aaman,Positif
gambar kesana ingin sesuai apa nama korupsi jauh datang moga,Positif
jabat kerja sehat tugas selamat beri,Positif
nun tir ketar,Negatif
percuma amp jakarta meikarta ikn,Netral
korupsi ladang,Negatif
sini banyak,Negatif
,Negatif
kelak sdm saksi panjang biasa luar umur nya pindah cucu bangsa anak selalu segala semangat indonesia maju ikn,Positif
etis pegawai sebut bidang nganggur lahan lumayan panjang kuli jangan kerja buat lebih bangun,Netral
nkri jalan lancar amp moga maju,Positif
pensiun selesai widodo joko baru jadi presiden ikn bangun,Negatif
tenang masuk mah fokus utama tuju selesai jalan kalau sekarang buat lebih ikn bangun,Positif
jujur nkri amanah urus mudah lancar iya bapak moga semangat,Positif
wa no blok satu lewat masa,Netral
yra jaya nkri lancar aamiin jadi awal moga maju,Positif
gampang ngomong bukti mana doang kan paling terus,Negatif
modal relatif struktur panjang sosial masalah buah mudah budaya sangat ibu baru siap kota kerja negara bangun,Positif
utuh sepenuh desain pilih sesuai lihat jadi iya kok,Negatif
serang kena geografis udara laut utara barat invasi banjir tuh meski luar bagaimana langsung aman timur dong kata kalau jakarta suatu indonesia ikn,Netral
muslim pegawai apa agama ibadah tempat nya iya kerja bangun,Netral
wkwkwkpadahal perata satu biasa salah tuju kalimantan iya buat ikn bangun,Positif
,Netral
indonesia maju,Positif
boss dki area modern ken barat bilang lokasi apa kait doang pulau masalah investasi jawa kan perlu orang mau dar kalau perintah pusat,Netral
pakkesejateraan rumah rakyat mu,Negatif
sawit adat nyerobot alas nyadar lha lahan ujung korupsi ladang buka dayak baru nya proyek jadi meikarta buat ikn,Negatif
polusi lebat sangat kalimantan keren nya hutan,Positif
rusia amerika kiblat atur lebar toll super china mudah jalan besar bukan negara ibukota lebih depan rencana ikn,Positif
,Negatif
jaya indonesia,Positif
sejahtraslm masarakat imbang tuju jokowi jadi bapak indonesia maju,Positif
ngeluh orng jelas derita kagak lah punya nya iya kerja maju depan,Negatif
hati pilih entah asing inti pusat jadi kerja,Positif
bisnis paham buruh jerit naik rang bunga tumpuk kau bodoh official art ukur barang asing utama hasil investor hidup masyarakat hutang tahun biaya subsidi,Netral
mesti kantor mesjid gereja perintah lengkap bangun,Positif
tki tka awal kerja tenaga moga lebih,Netral
negeri maju,Positif
cepat sangat,Netral
tuju,Netral
mantul,Positif
kasihan rusak jadi hutan ikn,Negatif
langkah buang sama hutang ambil jokowi anggar makin proyek bapak negara ikn,Negatif
jaga lahir sekali dan asli alam nanti mantab kalimantan semua cucu indah bapak anak moga ikn,Positif
hapus asa erti pulau luar orang tolak quot rakyat ikn,Netral
ko puji apa alam salah nya indah iya,Netral
jaya selalu moga indonesia,Positif
maaf segan tahap arti mati bikin cebong hidup mau bagi kadrun selalu,Netral
kaltim pusat jadi indonesia depan masa,Positif
kesitu isi jin buang ngapain jawa tempat pindah mending anak ibukota,Negatif
ngarep pihak korupsi moga ikn bangun,Positif
ringan berat yudhoyono bambang susilo kasi tol puluh tahun jokowi ikn bangun,Negatif
global lokal fisik otak jokowi bapak,Netral
past not will nature the manusia serakah smuanyasdangkan timbul trus hnya nyanyi segar pagi duduk ubah skrang sedih udara tenang entah ada so alam dulu nikmat hari like be kalimantan tahun lihat makin cucu hutan anak,Netral
paku batu laku pertama sini warga segera sabar terus perintah presiden istana salam kerja buat semangat indonesia maju harap ikn,Positif
populasi luas manusia lahan sedikit lipat kali wilayah sangat kalimantan nya,Netral
janji bohong ngin munafik main satu panjang mau kata lihat quot kadrun,Negatif
jawab muslim sebut mesjid apa gereja semua kok bapak kerja,Negatif
bagus,Positif
cuan mangkrak moga,Positif
ide sangat,Positif
mangkrak selesai lalu nya jokowi proyek ikn,Negatif
beberapa dekat kau tanam pohon bro rumah,Netral
monumen tahun lihat jadi moga,Negatif
saudara adab mudah baru lancar aamiin sana kerja sehat beri selalu moga depan bangun,Positif
isi arti apa otak sama nya kalau ikn,Negatif
,Netral
mega bidang baik makin proyek sukses moga segala indonesia ikn,Positif
pelan kejar buru bahagia saudara ukur guna biar baik asal ahli serap kalimantan warga waktu jangan kerja tenaga bangsa anak,Positif
versi hambalang jokowi,Negatif
pasang,Netral
aset produktif hilang duga awas korupsi pakai jadi kerja negara harap bangun,Positif
benar ngabisin duit negara,Negatif
mangkrak baswedan anies kalau jadi presiden,Negatif
sendiridongo ngontrak dongo nyusahin doang negeri rakyat,Negatif
utanggg jebak bahan hati jajah ujung terusss china semua projek nya kerja depan,Negatif
kerja,Netral
dapet haduh nipasti mega main korupsi semua proyek,Negatif
modular semua,Netral
borneo tuju mantap ibu jadi kota negara,Positif
sll tikus wakil barat juang benar rugi kumpul tempat timur bukan rakyat moga,Positif
nyinyir malas trus apa hebat emang nya kadrun,Negatif
hakim bangga siapa emang lah orang bagus baru ibukota indonesia lebih,Positif
sanatp bahkan cara bagaimana ikut iya tinggal kerja ikn,Netral
kaya makin proyek,Negatif
belah pihak arti meski tolak jalan lancar moga nusantara ikn,Positif
aamiin,Netral
side out the,Netral
lancar selamat moga alhamdulillah,Positif
kelola mulia akhlak lupa ajar generasi jaga ayo uud pancasila nanti negeri cinta baru kalian jangan kerja selalu negara ibukota semangat lanjut,Positif
ngawasin rakyat,Negatif
ngelanjutin bagaimana khawatir sangat mau semua kalau bakal iya presiden lanjut bangun,Netral
pakdhe ngebet yo pakai baswedan anies presiden siap ikn,Negatif
monas nggadibeken kan ibu kata baru iya,Netral
kapan bayar hutang bagus nya sekarang,Positif
slogan multi tunggal lain adil usul sesuai nanti agama ibadah dulu biar tempat daerah dong baru kalau perintah pusat jadi iya umat negara ibukota mulai bangun,Positif
negeri hutang,Negatif
operasi kapan tingkat dunia baik mudah ibu sabar baru lihat kota mulai,Positif
merdeka jalan lancar aamiin kerja selamat moga indonesia ikn,Positif
cipta foya anggota pns ada serius dpr jabat tempat mau lihat kalau jakarta sana bukan kerja ikn,Netral
kursi orng alah tetap kasih pribumi,Negatif
bukan presiden moga lanjut,Netral
jabat amanah rakyat kerja tugas allah moga indonesia maju harap alhamdulillah,Positif
militer pangkal,Netral
rakus didik manusia rusak kuasa alam baik orang banyak uang kurang kalimantan sehat indonesia ikn,Negatif
tuhan puji jalan lancar kerja selamat beri moga ikn bangun,Positif
sel paru dunia,Negatif
sejahtera mudah lancar kerja bangsa beri moga maju ikn bangun,Positif
tunduk papua sulawesi next habis jawa orang punya kalimantan semua jadi lanjut,Netral
sungguh pembagunan ambisi lalau mercusuar setop mas hati kuat lain tarik pajak tingkat sendiri usaha rokok baik ganti proyek perintah subsidi rakyat,Negatif
duduk cina asli paling orang nya jadi bakal buat,Negatif
angin ayo habis dong berapa dana,Positif
antek teriak apbn jajah habis asing investasi pakai china banyak uang kalau besar dana rakyat negara,Netral
nu korban singkir salah ikut cebong tetep jadi bakal bukan,Netral
ngebut usah bapak,Negatif
tingkat proyek,Negatif
nkri cepat manfaat mudah selesai an ikn,Positif
bayar kan turun hutang semua cucu rakyat anak moga indonesia,Positif
berat kayak ganti tahun kalau iya presiden,Negatif
kena anti wilayah kayak bagus demo ikn,Positif
solar antri parkir supir jelata sakit buzzer mas awas panjang hari nyata lihat amp rakyat buat,Negatif
oke perata mah deh terus kalau ekonomi lanjut bangun,Positif
mas mana asli,Netral
laksana nafsu buang mudah aamiin duit an buat negara,Negatif
kalah redbull kasihan akhir ganti presiden,Negatif
kalimat warung makan kumuh masalah tempat banyak proyek duit bapak rakyat ikn,Negatif
indonesia maju,Positif
kira apa selesai,Netral
polos choiri uu ikut lah pikir iya jangan presiden,Negatif
terima nyata baswedan anies kasih presiden bapak kerja,Netral
tugasquot sgl sht sllu kan mudah semua lancar kerja sukses selamat ikn bangun,Positif
sia sejahtera rata mudah an rakyat ikn,Positif
kembang makin moga indonesia maju alhamdulillah,Positif
rabbal slalu ampe atas qu saudarasaudara pemerintahsukses nge radikal lindung bawah lho dukung masjid bijak pribadi sangat semua nya amp jadi iya jangan rakyat kerja buat sukses allah indonesia mulai,Positif
pdliiknjbr sekali betul salam sehat,Netral
concern benci rusak lingkung tuju dar jokowi proyek awal bukan ikn,Negatif
biasa luar nyata mulai ikn bangun,Positif
adab korupsi budaya ibu baru proyek kota mulai bangun,Positif
provinsi bagus nih buat ibukota,Positif
traficlight seftpower turbin full atap solar angin no usul jembatan semua jadi,Positif
bahasa simbol next monumen gagal buah mangkrak ganti bagus sekarang presiden,Negatif
bicara nyata mimpi jadi moga,Positif
preaiden gagal hancur hutang semua baru rakyat negara,Negatif
produksi tapi liar sekali tebang tuh wilayah tahun amp bukan hutan ikn,Netral
megah modern nanti ibu jalan terus rakyat kota nusantara negara ikn,Positif
bal karakter jawa kalimantan ibu jangan kota nusantara,Negatif
best is the cepat selesai ku baru presiden sehat selalu moga,Positif
suruh tonton viva baca jadi,Netral
pasang ganti ibu,Netral
bengkalai ujung lancar jangan sukses moga,Positif
blt covid partai kursi janji naik alas pilih bayar suka harga hasil akhir hutang kata jangan buat bangun,Negatif
youtuber hampir justru bilang umum bahkan siapa update hari selesai jalan kok ikn,Positif
tmpat trsbar bsar gx terampil skil resiko marah ni konoha sistem tw sya sodaraku populasi lokal gni ska saing apa suka negeri jawa jauh tinggi baik orang banyak warga mau kalau jadi milik bukan jangan presiden ibukota indonesia lebih,Netral
bayang beberapa tahap hingga bagi jadi ikn bangun,Netral
ken pindah jadi,Netral
tahan peran nah mikirnya mikirin beasiswa bod situ balik mahasiswa seluruh masif cipta solusi industri minta tarik merdeka rata mana mah tuh apa biasa investasi luar pikirin cara jaman negeri bagaimana dulu hasil lapang kan usah lah orang peluang akhir banyak kalimantan ibu terus tahun kalau pikir perintah besar pusat jadi diri bakal milik duit jangan rakyat kota kerja buat sukses mu indonesia maju depan bangun,Positif
sia,Negatif
tanggung lengser nambah suruh jawab bayar hutang kalian jangan rakyat,Negatif
permanen beton tonton jelas potong alias makanya jembatan kalau jadi jangan buat,Netral
makmur merah pita milu potong pilih siapa hidup moga nusantara,Positif
sumatera belitung pulau jauh sama kalimantan,Netral
mangkrak moga,Positif
rata menteri cepat tinggi semua tahun pindah moga negara indonesia ikn bangun,Positif
full apbn pakai tau hutang kalau dana ikn bangun,Netral
kuat istilah sulit bulan gedung menteri tuju cepat asal sama selesai semua tahun kontruksi jadi moga negara bangun,Positif
gera politik ayo cepat jauh yakin demo makin ekonomi maju,Positif
ngwakak payu siapa hidup bakal sana,Negatif
sah eror maha choiri contoh kuasa tuh uu negeri kan siapa emang lah sama jokowi perintah presiden buat indonesia,Negatif
wkwkkw awas mangkrak,Negatif
pulau akhir kalimantan selamat,Positif
yra aamiin,Netral
kotor baku air,Negatif
josss,Positif
mangkrak baswedan anies kalau,Negatif
lupa bawah tanah jangan bangun,Positif
nanti hantu kota,Negatif
rapi letak tata kesana malaysia contoh kagum singapore sangat bapak,Positif
masyaallah,Positif
traspotasi mobil umum harus bukan kota,Positif
triliun pakde numpuk hampir pelan hutang moga depan,Negatif
pentakbiran duduk padat terlalu kalimantan pindah pusat jakarta bukan nusantara,Positif
sejahtera ada lingkung warga jadi moga ikn,Positif
ngutangyg to utangmana bisnis paham kau mana umum otak masalah tau memang hutang jalan bangun,Netral
somoga panjang semua nya lihat suatu ikn,Positif
nanya luas sini siapa punya tanah,Netral
jepang cina investor banyak,Netral
newmont mirip,Netral
upa raya larang laksana awas dekat masuk terlalu kurang jalan nya jadi jangan buat bangun,Negatif
apa hambat,Positif
putar dukung masyarakat serap banyak ekonomi kerja tenaga bangun,Positif
rejeki tukang mikirnya mas dapet luas lha makan main jual buka lapang jauh ribu sampe orang dong semua baru nya proyek sana kerja,Netral
papua kembang biar pindah,Netral
top nusantarapa suap terwujudsemoga berani pa peran sungguh juang lain bersih mata biasa luar korupsi pimpin hari jauh ri ambil kalau serta jokowi tetep bakal rakyat rencana ikn bangun,Positif
arah pandang kab apa coba kalteng jalan lihat depan tampak,Negatif
oksigen sumber rindang terima kau entah lama pohon hasil hari hidup kasih,Negatif
beda outsourcing nafsu kau jajah nasib apa kan puluh tahun ikn bangun,Negatif
terus bangsa maju,Positif
sempit otak komentar,Netral
negriku damai lndonesia resmi lkn saksi republik jaya cepat umur bangsa harap wujud,Positif
ukir juang sejarah bangga doa baik ibu baru besar bagi cucu rakyat kota kerja sedang anak negara indonesia penuh bangun,Positif
andai gaya beda menang apa nanti cara bagaimana tau baswedan anies hambalang mungkin jadi iya kerja moga negara lanjut,Positif
aamiin,Netral
joss memang indonesia,Positif
dukung sangat lancar rakyat moga,Positif
tiongkok imigran isi indonesia,Negatif
wah naik harga dong tanah sana mulai,Netral
scpt mau jakarta jadi,Positif
kabel tanam bawah listrik soal tanah jadi suatu iya kota,Positif
tuai ketua bencana adat laku apa alam inti hancur tempat bumi jadi cucu anak moga depan masa,Negatif
mati jadi bakal kota,Negatif
kafir pki habis ide nkri kadrun ikn,Negatif
mangkrak yakin bakal,Negatif
selesai moga,Positif
trim pembngun simbol nkri jokowi ekonomi bapak ikn,Positif
undang kan nya,Positif
tambah ngerasain nggk ngoton dah jepang megawati pernah malah gin era tau sama hutang nya kalau kasih perintah negara indonesia,Netral
gundul kalimantan hutan jangan harap,Positif
somary,Netral
rusak lah perhati jalan ikn bangun,Negatif
pimpin tetap lancar moga semangat lanjut ikn,Positif
nanya hutang dana,Netral
asing orang kerja,Negatif
ayam otw jual ikn,Netral
tekad tetap presiden moga lanjut ikn bangun,Positif
kawasan endingnya cina industri nyata milik bangun,Negatif
situuu pernah kerja,Netral
warni warna atap kasi tarik bagus nya mungkin kalau lebih,Positif
oceh terima makanya jawa pindah ibukota,Negatif
sistem modular proses cepat sangat bangun,Positif
mantan kali,Netral
kn gampang ngomong doang coba,Netral
mantap bapak,Netral
bendung turut entah sulit upacara realisasi sampe tahun jadi lebih ikn bangun,Positif
